time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.03383390217e-07,8.48800967053e-08,10.0056088647,8.67874375192e-05,6.2829672143,0.0,1.45653005529e-05,7.98306480366e-06,0.186949329257,0.00419308642093,-0.0121315823454,0.0,464.1872718414406,463.2345177356941,463.46120371839226,463.7905617727563
0.12000000000000001,9.21445609852e-06,3.6859969824e-06,10.0229559652,6.28318154303,6.28238568334,0.0,0.000365552997044,0.000125687189297,0.391239049955,-0.0164739866905,-0.00521231431691,0.0,468.13417281213185,468.6723027711637,470.16211900032954,468.5584709857983
0.18,5.18061620992e-05,8.54705752362e-06,10.0529281016,4.13520148523e-05,6.28213004531,0.0,0.00108790857239,-4.77969622964e-06,0.607741718776,0.0225282353488,-0.00242204468197,0.0,471.93919272422045,472.1545574869046,471.67703056919817,474.67908291610007
0.23999999999999996,0.000139148487015,1.4177020024e-05,10.0920620719,0.00137754350252,6.28186507666,0.0,0.00184370330231,0.000327323561398,0.696673384428,0.0217480880057,-0.00873686355978,0.0,434.5072878302976,433.9777207155968,433.3336817353076,433.26814344089445
0.3,0.000272202317445,5.93442851906e-05,10.13200162,0.00257278581112,6.28125618526,0.0,0.00263555484633,0.00127605899884,0.634681817182,0.0159900012898,-0.0131317809116,0.0,382.09603271391563,381.67697831000356,383.53281741482596,382.98565635483703
0.36000000000000004,0.000472992819355,0.000192681758784,10.1729721716,0.00378438739242,6.28010189766,0.0,0.0041515596583,0.00327961103047,0.730945574654,0.0274961550985,-0.0356900476568,0.0,437.50372880689406,435.6217027296991,435.24784173511335,436.2096016720128
0.4200000000000001,0.000790799822746,0.00047033626677,10.2188914004,0.00566502683999,6.27772987622,0.0,0.00666023289588,0.00614813976635,0.799647827708,0.0381011290136,-0.0486096437055,0.0,427.5482377843252,426.4453222254861,427.3903650775697,428.29353800484256
0.48000000000000015,0.0012987890241,0.00094987064474,10.2673983764,0.00776706995043,6.27540050477,0.0,0.0105037635704,0.0100340406217,0.817236059368,0.0280614225534,-0.0242135013372,0.0,409.2034891994839,411.3681376611864,411.34758459730966,410.45830499740845
0.5400000000000001,0.00212781622427,0.00175135749942,10.3234670109,0.00939907241984,6.27402115835,0.0,0.0173014427424,0.0168827994062,1.05152928135,0.0254193633394,-0.0206465978142,0.0,478.4859662831146,478.7573957237777,478.1420514668435,477.940872111162
0.6000000000000002,0.00338919649592,0.00299465072819,10.3926877696,0.0109562623536,6.27293302935,0.0,0.0248787658839,0.0247392940854,1.25562431225,0.0269998124466,-0.0135350242573,0.0,470.51723918080967,471.0674971883347,468.9484595204545,469.0712878340063
0.6600000000000003,0.00511006662786,0.00472611252944,10.4723204404,0.0125651415261,6.2723469187,0.0,0.0325566210988,0.033149162613,1.39863083417,0.0264417932381,-0.0031365293768,0.0,452.44971251351257,453.28615353893446,451.0165530010381,450.9716368689571
0.7200000000000003,0.00733537138228,0.00703680968226,10.5635942487,0.0142400917261,6.27224781611,0.0,0.0416342258253,0.0440713949968,1.6435070971,0.0307115711666,0.00116404290525,0.0,482.2948891150748,482.61959688568686,482.57727490812425,482.89956868196197
0.7800000000000004,0.0100966449534,0.0100322835259,10.6686373447,0.0159619393548,6.27228614493,0.0,0.0503981710929,0.0559852353342,1.85760310485,0.0243306052988,-0.000432996470328,0.0,474.8399995413865,474.7174647953205,474.1238280687382,473.63354283415555
0.8400000000000004,0.0133847519266,0.013784449492,10.7866564587,0.0172187918054,6.2720563089,0.0,0.0592152899964,0.069244434344,2.07599357931,0.0131381267623,-0.0116804739816,0.0,476.94005370863874,476.0803719205607,476.4518357910167,475.5953756536692
0.9000000000000005,0.0171689944809,0.018295712679,10.9140998699,0.0177784286441,6.27125605672,0.0,0.0669999243323,0.0811974879674,2.17193993915,0.000340693134378,-0.0168765595442,0.0,440.0624168382531,439.63222614793557,440.38414530027694,439.32426318927014
0.9600000000000005,0.0214622829426,0.023568619855,11.0493139891,0.0174111440476,6.27023274253,0.0,0.0762190457893,0.0945463771459,2.33487714212,-0.0239718756995,-0.0174149858991,0.0,461.23850202549164,461.1960706155359,461.6349015507075,459.7126003105294
1.0200000000000005,0.0263251912514,0.0296191225943,11.1937868781,0.0156170713242,6.26905162526,0.0,0.0859943539763,0.106959995544,2.48058183101,-0.0456866520765,-0.0246633134298,0.0,457.13074150259985,456.55284903104837,456.79391284369535,455.05869812507535
1.0800000000000005,0.0317973923462,0.0363644004048,11.3466662195,0.0127845387237,6.26766600114,0.0,0.09656120468,0.117579359598,2.61510000378,-0.0504406241454,-0.0201264453382,0.0,453.0873239489726,453.45188110019586,454.1218867513938,453.73910734633375
1.1400000000000006,0.0379589418994,0.0437045857662,11.5092822894,0.00981076578308,6.26614833076,0.0,0.108970472344,0.12674170518,2.80499089272,-0.0478633454017,-0.038416752016,0.0,471.4515219505686,470.0361010481623,470.9806326459409,471.1785355128149
1.2000000000000006,0.0448491419268,0.0514964670452,11.6800950083,0.00745239575737,6.26403858721,0.0,0.120918203058,0.132728756962,2.88855695921,-0.0261313748302,-0.0293413797487,0.0,437.9128183286985,438.66651207200954,439.3735129198063,441.17063477546236
1.2600000000000007,0.0524627501952,0.0595919457525,11.8541720356,0.00621932668409,6.26184191351,0.0,0.133041051339,0.13699397243,2.91394300516,-0.0112397053954,-0.0579814711311,0.0,422.45314629738874,419.9753988897419,419.8979961618296,421.1878628625593
